,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000001.XSHE,000001,平安银行,XSHE,2020-01-02,16.45,16.45,16.65,16.95,16.55,16.87,153023187,2571196482.14,67692,0.0079,0.9832307696,327375048049,327377840034,0.0255,11.6992,10.3947,1.1364,1,16.803
1,000001.XSHE,000001,平安银行,XSHE,2020-01-03,16.87,16.87,16.94,17.31,16.92,17.18,111619481,1914495474.63,58875,0.0058,0.9832307696,333390831386,333393674676,0.0184,11.9142,10.5857,1.1573,1,17.152
2,000001.XSHE,000001,平安银行,XSHE,2020-01-06,17.18,17.18,17.01,17.34,16.91,17.07,86208350,1477930193.19,48856,0.0044,0.9832307696,331256198589,331259023674,-0.0064,11.8379,10.5179,1.1499,1,17.144
3,000001.XSHE,000001,平安银行,XSHE,2020-01-07,17.07,17.07,17.13,17.28,16.95,17.15,72860756,1247047135.26,45513,0.0038,0.9832307696,332808658805,332811497130,0.0047,11.8933,10.5672,1.1553,1,17.115
4,000001.XSHE,000001,平安银行,XSHE,2020-01-08,17.15,17.15,17.0,17.05,16.63,16.66,84782412,1423608811.18,52126,0.0044,0.9832307696,323299839982,323302597212,-0.0286,11.5535,10.2653,1.1223,1,16.791
5,000001.XSHE,000001,平安银行,XSHE,2020-01-09,16.66,16.66,16.81,16.93,16.53,16.79,103163665,1725326806.25,42178,0.0053,0.9832307696,325822587833,325825366578,0.0078,11.6437,10.3454,1.1311,1,16.724
6,000001.XSHE,000001,平安银行,XSHE,2020-01-10,16.79,16.79,16.79,16.81,16.52,16.69,58554845,975154818.78,37440,0.003,0.9832307696,323882012563,323884774758,-0.006,11.5743,10.2838,1.1243,1,16.654
7,000001.XSHE,000001,平安银行,XSHE,2020-01-13,16.69,16.69,16.75,17.03,16.61,16.99,87213336,1468271683.72,42233,0.0045,0.9832307696,329703738373,329706550218,0.018,11.7824,10.4686,1.1445,1,16.835
8,000001.XSHE,000001,平安银行,XSHE,2020-01-14,16.99,16.99,16.99,17.27,16.76,16.76,130449366,2217608852.69,60290,0.0067,0.9832307696,325240415252,325243189032,-0.0135,11.6229,10.3269,1.129,1,17.0
9,000001.XSHE,000001,平安银行,XSHE,2020-01-15,16.76,16.76,16.79,16.86,16.45,16.52,85943912,1424889228.07,60129,0.0044,0.9832307696,320583034604,320585768664,-0.0143,11.4564,10.179,1.1129,1,16.579
10,000001.XSHE,000001,平安银行,XSHE,2020-01-16,16.52,16.52,16.52,16.57,16.2,16.33,102810467,1678888507.83,62597,0.0053,0.9832307696,316895941591,316898644206,-0.0115,11.3247,10.062,1.1001,1,16.33
11,000001.XSHE,000001,平安银行,XSHE,2020-01-17,16.33,16.33,16.38,16.55,16.35,16.39,60543669,995909007.35,35196,0.0031,0.9832307696,318060286753,318062999298,0.0037,11.3663,10.0989,1.1041,1,16.449
12,000001.XSHE,000001,平安银行,XSHE,2020-01-20,16.39,16.39,16.43,16.61,16.35,16.45,74607475,1226464649.55,42805,0.0038,0.9832307696,319224631915,319227354390,0.0037,11.4079,10.1359,1.1081,1,16.439
13,000001.XSHE,000001,平安银行,XSHE,2020-01-21,16.45,16.45,16.34,16.34,15.93,16.0,89660310,1442171431.55,60130,0.0046,0.9832307696,310492043200,310494691200,-0.0274,11.0958,9.8586,1.0778,1,16.085
14,000001.XSHE,000001,平安银行,XSHE,2020-01-22,16.0,16.0,15.92,16.16,15.71,16.09,71946491,1150933398.98,49245,0.0037,0.9832307696,312238560943,312241223838,0.0056,11.1582,9.9141,1.0839,1,15.997
15,000001.XSHE,000001,平安银行,XSHE,2020-01-23,16.09,16.09,15.92,15.92,15.39,15.54,110059207,1723394336.66,71683,0.0057,0.9832307696,301565396958,301567968828,-0.0342,10.7768,9.5752,1.0468,1,15.659
16,000001.XSHE,000001,平安银行,XSHE,2020-02-03,15.54,15.54,13.99,14.7,13.99,13.99,225919483,3201454164.92,105935,0.0116,0.9832307696,271486480273,271488795618,-0.0997,9.7019,8.6202,0.9424,1,14.171
17,000001.XSHE,000001,平安银行,XSHE,2020-02-04,13.99,13.99,14.05,14.66,14.02,14.6,170617207,2442932842.71,92730,0.0088,0.9832307696,283323989420,283326405720,0.0436,10.1249,8.996,0.9835,1,14.318
18,000001.XSHE,000001,平安银行,XSHE,2020-02-05,14.6,14.6,14.59,14.89,14.32,14.63,149138021,2177632043.62,78307,0.0077,0.9832307696,283906162001,283908583266,0.0021,10.1458,9.0145,0.9855,1,14.601
19,000001.XSHE,000001,平安银行,XSHE,2020-02-06,14.63,14.63,14.81,14.87,14.51,14.77,118581572,1740107625.42,64488,0.0061,0.9832307696,286622967379,286625411814,0.0096,10.2428,9.1008,0.995,1,14.674
20,000001.XSHE,000001,平安银行,XSHE,2020-02-07,14.77,14.77,14.6,14.69,14.41,14.62,92485296,1345053255.67,60612,0.0048,0.9832307696,283712104474,283714524084,-0.0102,10.1388,9.0083,0.9849,1,14.543
21,000001.XSHE,000001,平安银行,XSHE,2020-02-10,14.62,14.62,14.51,14.53,14.3,14.5,133949524,1931983482.1,67636,0.0069,0.9832307696,281383414150,281385813900,-0.0082,9.98,9.98,0.899,1,14.423
22,000001.XSHE,000001,平安银行,XSHE,2020-02-11,14.5,14.5,14.6,14.94,14.56,14.79,140750744,2077194138.92,73836,0.0073,0.9832307696,287011082433,287013530178,0.02,10.1796,10.1796,0.917,1,14.758
23,000001.XSHE,000001,平安银行,XSHE,2020-02-12,14.79,14.79,14.79,14.82,14.6,14.77,107050321,1573229042.55,53396,0.0055,0.9832307696,286622967379,286625411814,-0.0014,10.1658,10.1658,0.9158,1,14.696
24,000001.XSHE,000001,平安银行,XSHE,2020-02-13,14.77,14.77,14.71,14.88,14.61,14.65,101320528,1491327713.78,53839,0.0052,0.9832307696,284294277055,284296701630,-0.0081,10.0832,10.0832,0.9083,1,14.719
